property_id,property_type,property_subtype,price,price_type,living_area_m2,bedrooms,bathrooms,address,postal_code,city,latitude,longitude,building_year,state_of_the_building,furnished,has_garage,parking_count,kitchen_equipped,has_elevator,facades,floors_total,has_garden,garden_area_m2,has_terrace,total_area_m2,epc_score,region,province,nearby_city,km_from_nearby_city,is_nearby_city_prestigious,floor_number,property_url
https://immovlan.be/en/detail/residence/for-sale/8000/brugge/rbv75105,House,residence,190000.0,sell,88.0,2.0,,Biddersstraat 46,8000,brugge,51.2150104,3.2242703,,,,,,,0.0,2.0,,1.0,,1.0,,F,Flanders,West Flanders,Bruges,0.6000000000000001,0.0,,https://immovlan.be/en/detail/residence/for-sale/8000/brugge/rbv75105
https://immovlan.be/en/detail/residence/for-sale/2310/rijkevorsel/rbv86323,House,residence,435000.0,sell,158.0,3.0,1.0,de Veldhoven 3,2310,rijkevorsel,51.32973,4.775261,2025.0,New,0.0,1.0,1.0,,0.0,4.0,1.0,1.0,,1.0,,,Flanders,Antwerp,Turnhout,11.8,0.0,,https://immovlan.be/en/detail/residence/for-sale/2310/rijkevorsel/rbv86323
https://immovlan.be/en/detail/residence/for-sale/7970/beloeil/vbe11729,House,residence,447992.0,sell,184.0,3.0,1.0,,7970,beloeil,50.5317621,3.7256356999999998,,New,,1.0,1.0,,,4.0,,1.0,,,2124.0,A+,Wallonia,Hainaut,Mons,18.2,0.0,,https://immovlan.be/en/detail/residence/for-sale/7970/beloeil/vbe11729
https://immovlan.be/en/detail/residence/for-sale/9120/haasdonk/rbv11219,House,residence,698000.0,sell,235.0,4.0,2.0,Melselestraat 4,9120,haasdonk,51.18234,4.242785,2026.0,New,0.0,1.0,1.0,,0.0,3.0,1.0,1.0,,1.0,,,Flanders,East Flanders,Sint-Niklaas,7.2,0.0,,https://immovlan.be/en/detail/residence/for-sale/9120/haasdonk/rbv11219
https://immovlan.be/en/detail/residence/for-sale/2520/broechem/vbd81181,House,residence,505154.0,sell,162.0,3.0,2.0,,2520,broechem,51.1813334,4.6020124,,New,,,,,,3.0,,,,,625.0,,Flanders,Antwerp,Antwerpen,14.5,0.0,,https://immovlan.be/en/detail/residence/for-sale/2520/broechem/vbd81181
https://immovlan.be/en/detail/residence/for-sale/6680/sainte-ode/vbe33282,House,residence,339000.0,sell,140.0,3.0,2.0,Rue des Vieilles ecoles 96,6680,sainte-ode,50.0250471,5.5056845,2025.0,,,,,,,,,1.0,,,750.0,A,Wallonia,Luxembourg,Arlon,44.1,0.0,,https://immovlan.be/en/detail/residence/for-sale/6680/sainte-ode/vbe33282
https://immovlan.be/en/detail/residence/for-sale/7390/quaregnon/vbe32476,House,residence,115000.0,sell,155.0,2.0,1.0,,7390,quaregnon,50.4443909,3.8645777,,To be renovated,0.0,,,,0.0,2.0,,1.0,,,504.0,E,Wallonia,Hainaut,Mons,6.3,0.0,,https://immovlan.be/en/detail/residence/for-sale/7390/quaregnon/vbe32476
https://immovlan.be/en/detail/apartment/for-sale/7500/tournai/vbb79329,Apartment,apartment,495000.0,sell,185.0,3.0,2.0,,7500,tournai,50.6056059,3.3880367,2007.0,Normal,0.0,1.0,1.0,,0.0,,,0.0,,0.0,,B,Wallonia,Hainaut,Tournai,0.1,0.0,1.0,https://immovlan.be/en/detail/apartment/for-sale/7500/tournai/vbb79329
https://immovlan.be/en/detail/apartment/for-sale/5030/gembloux/vbe32725,Apartment,apartment,235000.0,sell,64.0,1.0,1.0,Chaussée de Tirlemont 16 25,5030,gembloux,50.5715186,4.696722,2010.0,Excellent,0.0,,,,1.0,,,,,1.0,,C,Wallonia,Namur,Namur,16.8,0.0,2.0,https://immovlan.be/en/detail/apartment/for-sale/5030/gembloux/vbe32725
https://immovlan.be/en/detail/apartment/for-sale/4000/glain/vbd89092,Apartment,apartment,80000.0,sell,90.0,2.0,,Boulevard d'Avroy 206/41,4000,glain,50.6330353,5.56713,,,,1.0,,,,2.0,,0.0,,0.0,,B,Wallonia,Liège,Liège,0.9,0.0,4.0,https://immovlan.be/en/detail/apartment/for-sale/4000/glain/vbd89092
https://immovlan.be/en/detail/apartment/for-sale/6700/arlon/vbd92009,Apartment,apartment,255000.0,sell,65.0,1.0,1.0,Rue Scheuer 116 01,6700,arlon,49.6887261,5.8065637,2020.0,Normal,0.0,,,Fully equipped,1.0,2.0,4.0,0.0,,0.0,,B,Wallonia,Luxembourg,Arlon,0.9,0.0,0.0,https://immovlan.be/en/detail/apartment/for-sale/6700/arlon/vbd92009
https://immovlan.be/en/detail/apartment/for-sale/1070/anderlecht/rbv95593,Apartment,apartment,249000.0,sell,,2.0,1.0,AVENUE DES IMMORTELLES 1,1070,anderlecht,50.81731,4.28247,1973.0,Excellent,,,,,1.0,,12.0,0.0,,1.0,,D,Brussels,Brussels Capital Region,Uccle,4.3,1.0,9.0,https://immovlan.be/en/detail/apartment/for-sale/1070/anderlecht/rbv95593
https://immovlan.be/en/detail/studio/for-sale/8370/blankenberge/rbw18359,Apartment,studio,199000.0,sell,40.0,,1.0,Zeedijk 120 Studio 84,8370,blankenberge,51.3155704,3.1255525,1985.0,Normal,,,,,1.0,,10.0,,,1.0,,B,Flanders,West Flanders,Bruges,13.7,0.0,8.0,https://immovlan.be/en/detail/studio/for-sale/8370/blankenberge/rbw18359
https://immovlan.be/en/detail/residence/for-sale/7387/angre/vbe35814,House,residence,160000.0,sell,193.0,3.0,1.0,,7387,angre,50.36839,3.69813,,To be renovated,0.0,,,,0.0,3.0,,1.0,,1.0,600.0,F,Wallonia,Hainaut,Mons,20.4,0.0,,https://immovlan.be/en/detail/residence/for-sale/7387/angre/vbe35814
https://immovlan.be/en/detail/cottage/for-sale/6900/marche-en-famenne/vbd43009,House,cottage,200000.0,sell,,3.0,1.0,,6900,marche-en-famenne,50.2282896,5.3441606,1850.0,To be renovated,0.0,1.0,1.0,,0.0,4.0,2.0,1.0,,1.0,3402.0,E,Wallonia,Luxembourg,Namur,43.0,0.0,,https://immovlan.be/en/detail/cottage/for-sale/6900/marche-en-famenne/vbd43009
https://immovlan.be/en/detail/apartment/for-sale/6700/arlon/vbd90098,Apartment,apartment,310000.0,sell,87.0,2.0,1.0,,6700,arlon,49.6833333,5.8166667,,,0.0,1.0,,,0.0,2.0,6.0,0.0,,0.0,,C,Wallonia,Luxembourg,Arlon,0.0,0.0,2.0,https://immovlan.be/en/detail/apartment/for-sale/6700/arlon/vbd90098
https://immovlan.be/en/detail/residence/for-sale/3580/beringen/rbv82584,House,residence,185000.0,sell,142.0,4.0,1.0,Koerselsesteenweg 41,3580,beringen,51.04929,5.228768,,To be renovated,0.0,1.0,1.0,,0.0,2.0,,1.0,,0.0,228.0,F,Flanders,Limburg,Hasselt,15.1,0.0,,https://immovlan.be/en/detail/residence/for-sale/3580/beringen/rbv82584
https://immovlan.be/en/detail/residence/for-sale/9300/aalst/rbw17286,House,residence,645000.0,sell,221.0,3.0,1.0,Bredestraat 191,9300,aalst,50.95437,4.04533,,Excellent,0.0,1.0,1.0,,0.0,,,1.0,500.0,1.0,,B,Flanders,East Flanders,Alost,1.9,0.0,,https://immovlan.be/en/detail/residence/for-sale/9300/aalst/rbw17286
https://immovlan.be/en/detail/residence/for-sale/9506/idegem/rbw02461,House,residence,599000.0,sell,340.0,6.0,2.0,Heirweg 111,9506,idegem,50.8042349,3.9143623,2026.0,,,1.0,,,,4.0,,1.0,,0.0,2600.0,,Flanders,East Flanders,Alost,17.3,0.0,,https://immovlan.be/en/detail/residence/for-sale/9506/idegem/rbw02461
https://immovlan.be/en/detail/residence/for-sale/8790/waregem/rbv88716,House,residence,515000.0,sell,160.0,3.0,1.0,Groeningeveld 8,8790,waregem,50.897607,3.412808,2021.0,Excellent,0.0,,,Super equipped,0.0,4.0,,1.0,,1.0,297.0,A,Flanders,West Flanders,Waregem,1.2,0.0,,https://immovlan.be/en/detail/residence/for-sale/8790/waregem/rbv88716
https://immovlan.be/en/detail/villa/for-sale/8670/sint-idesbald/rbv70200,House,villa,675000.0,sell,181.0,3.0,,Dwarsstraat 23,8670,sint-idesbald,51.1066135,2.6177080999999998,1952.0,Normal,,1.0,,,0.0,,,1.0,,0.0,716.0,E,Flanders,West Flanders,De Panne,1.9,1.0,,https://immovlan.be/en/detail/villa/for-sale/8670/sint-idesbald/rbv70200
https://immovlan.be/en/detail/residence/for-sale/9030/mariakerke/rbv78267,House,residence,275000.0,sell,135.0,2.0,1.0,Spellewerkstraat 38,9030,mariakerke,51.0708265,3.6837249,1918.0,To be renovated,,,,,,2.0,,1.0,,1.0,360.0,D,Flanders,East Flanders,Gent,3.0,0.0,,https://immovlan.be/en/detail/residence/for-sale/9030/mariakerke/rbv78267
https://immovlan.be/en/detail/apartment/for-sale/5590/ciney/vbe14174,Apartment,apartment,155000.0,sell,68.0,1.0,,,5590,ciney,50.2956773,5.1008307,,,0.0,1.0,,,0.0,2.0,1.0,0.0,,0.0,,E,Wallonia,Namur,Namur,25.2,0.0,1.0,https://immovlan.be/en/detail/apartment/for-sale/5590/ciney/vbe14174
https://immovlan.be/en/detail/residence/for-sale/8730/oedelem/rbw25218,House,residence,225000.0,sell,170.0,4.0,1.0,Knesselarestraat 20,8730,oedelem,51.1683875,3.3400208,,,,,,,,,,1.0,,1.0,250.0,F,Flanders,West Flanders,Bruges,9.2,0.0,,https://immovlan.be/en/detail/residence/for-sale/8730/oedelem/rbw25218
https://immovlan.be/en/detail/apartment/for-sale/2610/wilrijk/rbu25536,Apartment,apartment,199000.0,sell,55.0,1.0,1.0,Scheidingstraat 5 001,2610,wilrijk,51.1822055,4.3763071,1954.0,Fully renovated,,,,,,2.0,2.0,0.0,,1.0,,B,Flanders,Antwerp,Antwerpen,4.5,0.0,0.0,https://immovlan.be/en/detail/apartment/for-sale/2610/wilrijk/rbu25536
