postal_code,property_count,avg_price_m2,longitude,latitude
1400,38,2487.537406795334,4.2860216341575,50.5931607
1401,1,2218.430034129693,4.3586482570372,50.6172472
1410,41,3813.2285703609673,4.3978047,50.7173563
1420,17,3324.801868980635,4.3548145440335,50.6940942
1421,2,3609.259259259259,4.3507902353934,50.65630215
1428,6,2695.7531399072514,4.3670582,50.6483743
1430,5,2256.0135553510167,4.1227257983451,50.69657845
1435,5,2783.9597672613545,4.6167772,50.6220893
1440,8,2899.0823019159816,4.3133036337455,50.68083185
1450,7,2900.2917567528007,4.6377941108725,50.6106296
1457,5,2787.3353585771993,4.6743285,50.6407147
1460,4,2149.4584116541355,4.2199759440369,50.6413403
1470,12,2292.8684027846944,4.5192034141632,50.63205335
1472,1,3523.809523809524,4.4015030981612,50.62902485
1480,23,2461.90548556443,4.2214131,50.6893737
1490,13,3190.6688418286444,4.5685766,50.6443208
1495,9,1774.8339320400141,4.4895548874612,50.554167
1500,10,2361.1430292365303,4.2374349,50.7360524
1501,2,2918.6991869918697,4.2605080818496,50.73793415
1502,2,2496.520833333333,4.2143430588907,50.7092954
1540,4,2676.2926262510837,4.0260115663497,50.72329555
1547,2,2314.5276134122287,3.943147,50.7164481
1560,9,2693.897306095145,4.474407,50.7674846
1570,7,2380.004328327499,3.9709983,50.7527192
1600,18,2657.340861424478,4.1958992,50.7804875
1601,5,2685.0748402128193,4.298610469732,50.7848617
1602,3,2188.790511412539,4.2360410720845,50.805593
1620,2,2858.893557422969,4.3173542,50.786532
1630,2,2830.2262443438913,4.3345641,50.7716092
1640,12,3532.374859921938,4.3463687,50.74503
1650,3,2359.127041479983,4.3051321494591,50.7684432
1651,1,2951.3888888888887,4.2729986221483,50.76514035
1652,3,2819.6760258060312,4.3281703413079,50.7449476
1653,1,2561.4973262032086,4.2950152833964,50.73423975
1654,3,2458.353386070084,4.2732545968764,50.74931535
1670,3,2340.9361778588363,4.1785882891377,50.7511702
1700,14,3119.9477005883537,4.2206526,50.8800337
1701,4,2632.9146624623954,4.2501187,50.8395994
1702,6,3567.8604832058777,4.2635668372339,50.8714357
1703,2,2388.5620915032678,4.195149072634,50.8363077
1730,16,2790.352745715661,4.1804375072845,50.913594
1731,15,2825.048504945452,4.2744185,50.8842475
1740,3,3032.8646746654363,4.1834171401216,50.87155835
1742,2,2789.659090909091,4.1535568,50.8726659
1745,13,2421.4306825803305,4.1896665,50.9690529
1750,2,3114.020935960591,4.1695303908975,50.8115319
1755,7,2598.4738949571424,4.1212845,50.7631284
1760,5,2720.547683194823,4.1119573,50.8220387
1770,1,3044.742424242424,4.0860754,50.8711313
1780,10,3036.7215732357217,4.3108723,50.9145955
1785,7,2242.7915399359645,4.1202807810427,51.0881618
1790,6,2270.990146661186,4.1174675,50.9035063
1800,21,2710.3423586330537,4.4329052514838,50.92813655
1820,4,3685.5985826557253,4.4960702,50.9331623
1830,2,3312.0385561936014,4.4353614,50.9124219
1831,3,3103.75,4.4365042,50.8945555
1840,8,2240.7953294448084,4.2624672,50.9944384
1850,7,2745.618073366352,4.4013732626459,50.95030565
1853,9,2740.0410431174305,4.342355501959,50.91096285
1860,7,3201.689512934788,4.3287322,50.9341625
1861,7,2835.2436270881276,4.3085198,50.9510266
1880,2,2724.1550116550115,4.3599725,51.0131904
1910,6,2763.0194975909617,4.617418,50.937546
1930,6,3330.8528287267764,4.4745515,50.8804355
1932,8,3704.594878852286,4.4359939711919,50.8662434
1933,12,5651.529502837544,4.5157438438279,50.85395875
1950,12,4497.5429526199505,4.4691371,50.8606105
1970,9,4052.24779815098,4.4871796,50.8440554
1980,7,2755.7598692549814,4.44412333945,50.9865028
1981,1,2602.0942408376964,4.5042526607237,50.9939033
1982,2,2739.5803698435275,4.5075638918541,50.96953845
2000,59,4413.299492965816,4.3997081,51.2211097
2018,37,3993.275033791644,4.3997081,51.2211097
2020,18,3016.6632037112236,4.3997081,51.2211097
2030,1,2687.074829931973,4.3997081,51.2211097
2040,1,2437.037037037037,4.319401,51.3455396
2050,17,3481.22446826359,4.3997081,51.2211097
2060,48,3184.129519538118,4.3997081,51.2211097
2070,6,2596.772107547325,4.3188693282188,51.23062085
2100,65,2444.110801594194,4.4695254092764,51.2115284
2110,8,2759.1970194611454,4.5225318,51.2270761
2140,35,2651.7753739847503,4.4403895064496,51.21029905
2150,8,2751.607957199045,4.488953,51.1928907
2160,13,2502.561351632973,4.5238022,51.2031044
2170,34,2469.7289295337196,4.4453401635115,51.24994295
2180,14,2589.8249819193156,4.4322870782182,51.2842045
2200,45,2505.602021262461,4.83464460985,51.1855514
2220,12,2706.4751699972103,4.7191120718788,51.08755725
2221,5,2886.0867898969946,4.7692867998141,51.0471677
2222,8,2873.5381500488124,4.731894344605,51.10403005
2223,5,2338.53916010906,4.4361161,51.2907379
2230,6,1718.2114179884322,4.9018080031354,51.0554081
2235,8,2448.5032281061804,4.8012932645531,51.04605145
2240,4,3530.4352968426633,4.6356924683019,51.19902125
2242,1,2453.551912568306,4.7033852099385,51.2257319
2250,7,2326.802295220348,4.8597257,51.1438611
2260,19,2394.593485106172,4.9012622781849,51.1220734
2270,7,2309.7146204166993,4.7543972,51.1392427
2275,15,2582.8596419197647,4.8359528,51.2267185
2280,9,2654.915345425373,4.7318844301963,51.18870335
2288,3,1780.657267655267,4.7370614385825,51.16210045
